Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,EmployeeType,TenureOfEmployee,GradeOfEmployee,LeaveCount_wellnessOfEmployee,yearsOfEmployeement
41,Yes,Sales,1,2,Life Sciences,2,4,Single,5993,8,1,6,Permanent,13,B,22,11
49,No,Research & Development,8,1,Life Sciences,3,2,Married,5130,1,3,10,Permanent,15,D,12,4
37,Yes,Research & Development,2,2,Other,4,3,Single,2090,6,3,0,Permanent,17,D,21,13
33,No,Research & Development,3,4,Life Sciences,4,3,Married,2909,1,3,8,Temp,9,D,10,10
27,No,Research & Development,2,1,Medical,1,2,Married,3468,9,3,2,Permanent,22,C,27,10
32,No,Research & Development,2,2,Life Sciences,4,4,Single,3068,0,2,7,Permanent,8,D,8,6
59,No,Research & Development,3,3,Medical,3,1,Married,2670,4,2,1,Temp,22,A,29,6
30,No,Research & Development,24,1,Life Sciences,4,3,Divorced,2693,1,3,1,Permanent,6,D,27,3
38,No,Research & Development,23,3,Life Sciences,4,3,Single,9526,0,3,9,Temp,7,C,0,10
36,No,Research & Development,27,3,Medical,3,3,Married,5237,6,2,7,Permanent,5,A,18,10
35,No,Research & Development,16,3,Medical,1,2,Married,2426,0,3,5,Temp,4,B,0,2
29,No,Research & Development,15,2,Life Sciences,4,3,Single,4193,0,3,9,Permanent,19,C,5,5
31,No,Research & Development,26,1,Life Sciences,1,3,Divorced,2911,1,2,5,Permanent,23,B,30,1
34,No,Research & Development,19,2,Medical,2,4,Divorced,2661,0,3,2,Permanent,4,D,19,9
28,Yes,Research & Development,24,3,Life Sciences,3,3,Single,2028,5,3,4,Permanent,7,D,10,6
29,No,Research & Development,21,4,Life Sciences,2,1,Divorced,9980,1,3,10,Permanent,2,C,7,6
32,No,Research & Development,5,2,Life Sciences,1,2,Divorced,3298,0,2,6,Permanent,4,A,11,3
22,No,Research & Development,16,2,Medical,4,4,Divorced,2935,1,2,1,Permanent,7,C,14,1
53,No,Sales,2,4,Life Sciences,1,4,Married,15427,2,3,25,Temp,13,B,12,3
38,No,Research & Development,2,3,Life Sciences,4,4,Single,3944,5,3,3,Temp,25,C,25,10
24,No,Research & Development,11,2,Other,1,3,Divorced,4011,0,2,4,Permanent,10,B,7,7
36,Yes,Sales,9,4,Life Sciences,3,1,Single,3407,7,3,5,Permanent,15,B,13,17
34,No,Research & Development,7,4,Life Sciences,1,2,Single,11994,0,3,12,Permanent,20,A,19,0
21,No,Research & Development,15,2,Life Sciences,3,4,Single,1232,1,3,0,Permanent,3,B,16,2
34,Yes,Research & Development,6,1,Medical,2,1,Single,2960,2,3,4,Permanent,23,D,17,11
53,No,Research & Development,5,3,Other,3,3,Divorced,19094,4,2,14,Permanent,17,A,18,7
32,Yes,Research & Development,16,1,Life Sciences,2,1,Single,3919,1,3,10,Permanent,15,C,7,2
42,No,Sales,8,4,Marketing,3,2,Married,6825,0,3,9,Permanent,22,B,19,9
44,No,Research & Development,7,4,Medical,1,4,Married,10248,3,3,22,Permanent,6,D,5,13
46,No,Sales,2,4,Marketing,2,1,Single,18947,3,2,2,Temp,11,D,11,9
33,No,Research & Development,2,3,Medical,3,4,Single,2496,4,3,1,Permanent,11,B,20,10
44,No,Research & Development,10,4,Other,4,4,Married,6465,2,4,4,Permanent,6,C,12,7
30,No,Research & Development,9,2,Medical,4,3,Single,2206,1,3,10,Permanent,9,C,16,9
39,Yes,Sales,5,3,Technical Degree,4,4,Married,2086,3,4,1,Temp,12,C,27,11
24,Yes,Research & Development,1,3,Medical,2,4,Married,2293,2,2,2,Permanent,9,D,15,5
43,No,Research & Development,2,2,Medical,4,3,Divorced,2645,1,2,5,Permanent,24,A,6,7
50,Yes,Sales,3,2,Marketing,1,3,Married,2683,1,3,3,Permanent,15,B,30,8
35,No,Sales,2,3,Marketing,4,4,Married,2014,1,3,2,Permanent,5,B,7,8
36,No,Research & Development,5,4,Life Sciences,2,1,Married,3419,9,4,1,Permanent,21,B,14,15
33,No,Sales,1,3,Life Sciences,3,1,Married,5376,2,3,5,Temp,15,A,7,4
35,No,Research & Development,4,2,Other,3,4,Divorced,1951,1,3,1,Temp,14,D,23,11
27,No,Research & Development,2,4,Life Sciences,4,1,Divorced,2341,1,3,1,Permanent,14,D,4,3
26,Yes,Research & Development,25,3,Life Sciences,1,3,Single,2293,1,2,1,Permanent,19,C,20,6
27,No,Sales,8,3,Life Sciences,4,3,Single,8726,1,3,9,Permanent,13,D,17,2
30,No,Research & Development,1,2,Medical,3,4,Single,4011,1,3,12,Permanent,3,A,28,4
41,Yes,Research & Development,12,3,Technical Degree,2,3,Married,19545,1,3,22,Permanent,9,C,23,4
34,No,Sales,23,4,Marketing,2,3,Single,4568,0,3,9,Temp,9,D,25,5
37,No,Research & Development,19,2,Life Sciences,2,2,Married,3022,4,3,1,Temp,10,A,18,4
46,No,Sales,5,4,Marketing,1,4,Single,5772,4,3,9,Temp,17,A,18,7
35,No,Research & Development,8,1,Life Sciences,4,4,Married,2269,1,3,1,Permanent,6,D,12,1
48,Yes,Research & Development,1,2,Life Sciences,1,3,Single,5381,9,3,1,Permanent,22,A,15,10
28,Yes,Research & Development,5,4,Technical Degree,3,3,Single,3441,1,2,2,Permanent,10,A,20,1
44,No,Sales,1,5,Marketing,2,1,Divorced,5454,5,2,4,Permanent,24,A,20,14
35,No,Research & Development,11,2,Medical,3,1,Married,9884,2,3,4,Permanent,23,D,19,4
