SelectedFeatures,SelectionReason
Age,High mutual information score: 0.0336
DistanceFromHome,High mutual information score: 0.0055
Education,High mutual information score: 0.0000
EnvironmentSatisfaction,High mutual information score: 0.0015
JobSatisfaction,High mutual information score: 0.0047
MonthlyIncome,High mutual information score: 0.0318
NumCompaniesWorked,High mutual information score: 0.0005
WorkLifeBalance,High mutual information score: 0.0001
YearsAtCompany,High mutual information score: 0.0301
TenureOfEmployee,High mutual information score: 0.0078
LeaveCount_wellnessOfEmployee,High mutual information score: 0.0028
Department_Sales,High mutual information score: 0.0058
EducationField_Life Sciences,High mutual information score: 0.0054
EducationField_Marketing,High mutual information score: 0.0100
EducationField_Technical Degree,High mutual information score: 0.0008
MaritalStatus_Married,High mutual information score: 0.0064
MaritalStatus_Single,High mutual information score: 0.0203
GradeOfEmployee_B,High mutual information score: 0.0171
GradeOfEmployee_C,High mutual information score: 0.0000
GradeOfEmployee_D,High mutual information score: 0.0000
